cty,Name,Household_Income_rP_gP_pall,Median_Hhold._Income_in_1990,Median_Hhold._Income_in_2012-16,Teenage_Birth_Rate,High_School_Graduation_Rate,College_Graduation_Rate,Hours_Worked_Per_Week,Job_Growth_Rate_from_2004_to_2013,Growth
cty24510,"Baltimore city, MD",27591,46477,47171,0.4096,0.779,0.2163,26,0.61%,101.49%
cty53033,"King County, WA",51105,69739,83193,0.102,0.8925,0.4571,32,1.51%,119.29%
